"w_idx","islandName","baseDate","baseTime","fcstDate","fcstTime","POP","PTY","PCP","REH","SNO","SKY","TMP","TMN","TMX","UUU","VVV","WAV","VEC","WSD","insertDttm"
"16","완도 소안도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","32","","","0.1","3.7","0.5","182","3.7","2024-08-21 14:30:05"
"17","진도 관매도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","30","","","1.7","8.4","0.5","191","8.6","2024-08-21 14:30:05"
"18","진도 대마도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","30","","","1.7","8.4","0.5","191","8.6","2024-08-21 14:30:05"
"19","여수 대횡간도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","31","","","1.1","7.1","0.5","189","7.2","2024-08-21 14:30:05"
"20","완도 금당도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","-0.7","7","0.5","173","7","2024-08-21 14:30:05"
"21","완도 여서도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","31","","","-1.3","6.1","0.5","167","6.3","2024-08-21 14:30:05"
"22","영광 안마도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","31","","","1.7","9.4","0.5","190","9.6","2024-08-21 14:30:05"
"23","신안 우이도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","32","","","0.7","7.3","0.5","185","7.3","2024-08-21 14:30:05"
"24","여수 손죽도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","0.6","8.6","1","184","8.6","2024-08-21 14:30:05"
"25","신안 반월박지도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","0.1","8.4","0.5","181","8.4","2024-08-21 17:00:01"
"26","고흥 연홍도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","0","7.1","0.5","180","7.1","2024-08-21 17:00:01"
"27","강진 가우도","20240821","1700","20240821","1800","0","0","강수없음","75","적설없음","1","32","","","0.8","3","0","195","3.1","2024-08-21 17:00:01"
"28","여수 낭도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","0.9","7","0.5","187","7.1","2024-08-21 17:00:01"
"29","진도 금호도","20240821","1700","20240821","1800","0","0","강수없음","75","적설없음","1","30","","","1.4","5.1","0","195","5.3","2024-08-21 17:00:01"
"30","목포 외달도","20240821","1700","20240821","1800","20","0","강수없음","75","적설없음","3","31","","","0.8","3.5","0","192","3.6","2024-08-21 17:00:01"
"31","여수 송도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","0.8","6.9","0.5","187","6.9","2024-08-21 17:00:01"
"32","신안 옥도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","0.4","9","0.5","183","9","2024-08-21 17:00:01"
"33","신안 기점소악도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","0.8","8.8","0.5","185","8.9","2024-08-21 17:00:01"
"34","보성 장도","20240821","1700","20240821","1800","20","0","강수없음","85","적설없음","3","30","","","-0.3","3.4","0","173","3.4","2024-08-21 17:00:01"
"35","신안 선도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","1.3","8.5","0.5","189","8.6","2024-08-21 17:00:01"
"36","무안 탄도","20240821","1700","20240821","1800","0","0","강수없음","75","적설없음","1","31","","","1.5","5.4","0","195","5.6","2024-08-21 17:00:01"
"37","신안 고이도","20240821","1700","20240821","1800","0","0","강수없음","75","적설없음","1","31","","","1.2","6.2","0.5","191","6.3","2024-08-21 17:00:01"
"38","여수 연도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","0.9","6.9","0.5","188","7","2024-08-21 17:00:01"
"39","완도 생일도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","29","","","-0.1","7.8","0.5","178","7.8","2024-08-21 17:00:01"
"40","완도 소안도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","0.9","3","0.5","196","3.1","2024-08-21 17:00:01"
"41","진도 관매도","20240821","1700","20240821","1800","0","0","강수없음","85","적설없음","1","30","","","1.9","9.2","0.5","192","9.4","2024-08-21 17:00:01"
"42","진도 대마도","20240821","1700","20240821","1800","0","0","강수없음","85","적설없음","1","30","","","1.9","9.2","0.5","192","9.4","2024-08-21 17:00:01"
"43","여수 대횡간도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","0.9","6.9","0.5","188","7","2024-08-21 17:00:01"
"44","완도 금당도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","0","7.3","0.5","180","7.3","2024-08-21 17:00:01"
"45","완도 여서도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","30","","","-0.3","7.1","0.5","177","7.1","2024-08-21 17:00:01"
"46","영광 안마도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","1.1","10","0.5","186","10","2024-08-21 17:00:01"
"47","신안 우이도","20240821","1700","20240821","1800","0","0","강수없음","80","적설없음","1","31","","","0.3","9.1","0.5","182","9.1","2024-08-21 17:00:01"
"48","여수 손죽도","20240821","1700","20240821","1800","0","0","강수없음","75","적설없음","1","31","","","1","8.2","1","187","8.2","2024-08-21 17:00:01"
"49","신안 반월박지도","20240821","2000","20240821","2100","0","0","강수없음","90","적설없음","1","28","","","-1.6","7.1","0.5","166","7.3","2024-08-21 20:00:01"
"50","고흥 연홍도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","-0.4","7","0.5","176","7","2024-08-21 20:00:01"
"51","강진 가우도","20240821","2000","20240821","2100","20","0","강수없음","85","적설없음","3","29","","","-0.7","1.2","0","148","1.4","2024-08-21 20:00:01"
"52","여수 낭도","20240821","2000","20240821","2100","60","1","2.0mm","85","적설없음","4","30","","","1.4","6.6","0.5","192","6.7","2024-08-21 20:00:01"
"53","진도 금호도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","-0.9","4.6","0","168","4.7","2024-08-21 20:00:01"
"54","목포 외달도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","28","","","-0.8","1.7","0","152","1.9","2024-08-21 20:00:01"
"55","여수 송도","20240821","2000","20240821","2100","60","1","3.0mm","85","적설없음","4","30","","","1.5","6.7","0.5","192","6.9","2024-08-21 20:00:01"
"56","신안 옥도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","28","","","-1.3","7.8","0.5","170","8","2024-08-21 20:00:01"
"57","신안 기점소악도","20240821","2000","20240821","2100","60","1","4.0mm","90","적설없음","4","29","","","-1","8.1","0.5","172","8.1","2024-08-21 20:00:01"
"58","보성 장도","20240821","2000","20240821","2100","20","0","강수없음","95","적설없음","3","28","","","0","2.1","0","180","2.1","2024-08-21 20:00:01"
"59","신안 선도","20240821","2000","20240821","2100","60","1","3.0mm","90","적설없음","4","28","","","-0.8","7.5","0.5","173","7.5","2024-08-21 20:00:01"
"60","무안 탄도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","-0.4","4.4","0","174","4.4","2024-08-21 20:00:01"
"61","신안 고이도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","-1","5.1","0.5","168","5.2","2024-08-21 20:00:01"
"62","여수 연도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","1.2","7","0.5","190","7.1","2024-08-21 20:00:01"
"63","완도 생일도","20240821","2000","20240821","2100","0","0","강수없음","90","적설없음","1","28","","","-1.2","8.2","0.5","171","8.3","2024-08-21 20:00:01"
"64","완도 소안도","20240821","2000","20240821","2100","0","0","강수없음","90","적설없음","1","28","","","-1.4","4","0.5","160","4.3","2024-08-21 20:00:01"
"65","진도 관매도","20240821","2000","20240821","2100","60","1","2.0mm","90","적설없음","4","29","","","0","8.7","0.5","179","8.7","2024-08-21 20:00:01"
"66","진도 대마도","20240821","2000","20240821","2100","60","1","2.0mm","90","적설없음","4","29","","","0","8.7","0.5","179","8.7","2024-08-21 20:00:01"
"67","여수 대횡간도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","1.2","7","0.5","190","7.1","2024-08-21 20:00:01"
"68","완도 금당도","20240821","2000","20240821","2100","0","0","강수없음","85","적설없음","1","29","","","-0.7","7.4","0.5","174","7.4","2024-08-21 20:00:01"
"69","완도 여서도","20240821","2000","20240821","2100","0","0","강수없음","90","적설없음","1","28","","","-1.6","8.3","0.5","168","8.5","2024-08-21 20:00:01"
"70","영광 안마도","20240821","2000","20240821","2100","60","1","1mm 미만","85","적설없음","4","29","","","-0.1","9.3","0.5","179","9.3","2024-08-21 20:00:01"
"71","신안 우이도","20240821","2000","20240821","2100","0","0","강수없음","90","적설없음","1","29","","","-1.2","8","0.5","171","8.1","2024-08-21 20:00:01"
"72","여수 손죽도","20240821","2000","20240821","2100","0","0","강수없음","80","적설없음","1","30","","","0.1","8.2","1","181","8.2","2024-08-21 20:00:01"
"73","신안 반월박지도","20240821","2300","20240822","0000","0","0","강수없음","95","적설없음","1","27","","","-2","6.7","0.5","163","7","2024-08-21 23:00:01"
"74","고흥 연홍도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","29","","","0","6.8","0.5","179","6.8","2024-08-21 23:00:01"
"75","강진 가우도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-0.4","1.4","0","159","1.5","2024-08-21 23:00:01"
"76","여수 낭도","20240821","2300","20240822","0000","60","1","2.0mm","85","적설없음","4","29","","","1.5","7.3","0.5","192","7.5","2024-08-21 23:00:01"
"77","진도 금호도","20240821","2300","20240822","0000","60","1","6.0mm","85","적설없음","4","28","","","-1.5","4.9","0","162","5.1","2024-08-21 23:00:01"
"78","목포 외달도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-1","1.8","0","147","2.1","2024-08-21 23:00:01"
"79","여수 송도","20240821","2300","20240822","0000","60","1","2.0mm","85","적설없음","4","29","","","1.7","7.2","0.5","193","7.4","2024-08-21 23:00:01"
"80","신안 옥도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-1.4","6.7","0.5","167","6.9","2024-08-21 23:00:01"
"81","신안 기점소악도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-1.7","8.1","0.5","167","8.3","2024-08-21 23:00:01"
"82","보성 장도","20240821","2300","20240822","0000","20","0","강수없음","95","적설없음","3","27","","","-0.7","2.9","0","164","3","2024-08-21 23:00:01"
"83","신안 선도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-1.6","7.6","0.5","168","7.8","2024-08-21 23:00:01"
"84","무안 탄도","20240821","2300","20240822","0000","0","0","강수없음","85","적설없음","1","28","","","-1.4","4.6","0","162","4.9","2024-08-21 23:00:01"
"85","신안 고이도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-2.1","5.3","0.5","158","5.7","2024-08-21 23:00:01"
"86","여수 연도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","1.2","6.5","0.5","191","6.6","2024-08-21 23:00:01"
"87","완도 생일도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","27","","","-0.1","8.1","0.5","178","8.1","2024-08-21 23:00:01"
"88","완도 소안도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-0.4","4.8","0.5","174","4.8","2024-08-21 23:00:01"
"89","진도 관매도","20240821","2300","20240822","0000","60","1","2.0mm","90","적설없음","4","28","","","-0.3","8.2","0.5","177","8.3","2024-08-21 23:00:01"
"90","진도 대마도","20240821","2300","20240822","0000","60","1","2.0mm","90","적설없음","4","28","","","-0.3","8.2","0.5","177","8.3","2024-08-21 23:00:01"
"91","여수 대횡간도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","1.2","6.5","0.5","191","6.6","2024-08-21 23:00:01"
"92","완도 금당도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","29","","","-0.1","7.2","0.5","178","7.2","2024-08-21 23:00:01"
"93","완도 여서도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","0","6.1","0.5","179","6.1","2024-08-21 23:00:01"
"94","영광 안마도","20240821","2300","20240822","0000","0","0","강수없음","85","적설없음","1","29","","","-0.6","9.2","0.5","175","9.2","2024-08-21 23:00:01"
"95","신안 우이도","20240821","2300","20240822","0000","0","0","강수없음","90","적설없음","1","28","","","-1.4","7.3","0.5","169","7.4","2024-08-21 23:00:01"
"96","여수 손죽도","20240821","2300","20240822","0000","0","0","강수없음","80","적설없음","1","30","","","1","7.8","1","187","7.9","2024-08-21 23:00:01"
"97","신안 반월박지도","20240822","0200","20240822","0300","0","0","강수없음","95","적설없음","1","27","","","-2.9","6.7","0.5","155","7.3","2024-08-22 02:00:01"
"98","고흥 연홍도","20240822","0200","20240822","0300","20","0","강수없음","90","적설없음","3","29","","","0.4","6.1","0.5","183","6.1","2024-08-22 02:00:01"
"99","강진 가우도","20240822","0200","20240822","0300","60","1","2.0mm","95","적설없음","4","27","","","-1.1","1.4","0","141","1.9","2024-08-22 02:00:01"
"100","여수 낭도","20240822","0200","20240822","0300","20","0","강수없음","90","적설없음","3","29","","","1.6","7.5","0.5","192","7.7","2024-08-22 02:00:01"
"101","진도 금호도","20240822","0200","20240822","0300","0","0","강수없음","90","적설없음","1","28","","","-2.3","5.1","0","155","5.6","2024-08-22 02:00:01"
"102","목포 외달도","20240822","0200","20240822","0300","0","0","강수없음","90","적설없음","1","27","","","-1.9","2.4","0","139","3.1","2024-08-22 02:00:01"
"103","여수 송도","20240822","0200","20240822","0300","60","1","2.0mm","90","적설없음","4","29","","","1.5","7.6","0.5","191","7.8","2024-08-22 02:00:01"
"104","신안 옥도","20240822","0200","20240822","0300","0","0","강수없음","90","적설없음","1","28","","","-2","7.4","0.5","164","7.7","2024-08-22 02:00:01"
"105","신안 기점소악도","20240822","0200","20240822","0300","60","1","2.0mm","90","적설없음","4","28","","","-3.2","7.7","0.5","157","8.4","2024-08-22 02:00:01"
"106","보성 장도","20240822","0200","20240822","0300","20","0","강수없음","100","적설없음","3","27","","","-1.1","2.7","0","156","3","2024-08-22 02:00:01"
"107","신안 선도","20240822","0200","20240822","0300","60","1","2.0mm","90","적설없음","4","27","","","-3","6.7","0.5","155","7.4","2024-08-22 02:00:01"
"108","무안 탄도","20240822","0200","20240822","0300","60","1","2.0mm","90","적설없음","4","28","","","-2.6","3.7","0","143","4.6","2024-08-22 02:00:01"
"109","신안 고이도","20240822","0200","20240822","0300","20","0","강수없음","90","적설없음","3","27","","","-2.7","4.6","0.5","149","5.4","2024-08-22 02:00:01"
"110","여수 연도","20240822","0200","20240822","0300","60","1","1.0mm","90","적설없음","4","28","","","1.5","7.8","0.5","191","7.9","2024-08-22 02:00:01"
"111","완도 생일도","20240822","0200","20240822","0300","60","1","1.0mm","90","적설없음","4","27","","","0.1","6.8","0.5","181","6.8","2024-08-22 02:00:01"
"112","완도 소안도","20240822","0200","20240822","0300","0","0","강수없음","95","적설없음","1","28","","","-0.7","3.6","0.5","168","3.7","2024-08-22 02:00:01"
"113","진도 관매도","20240822","0200","20240822","0300","60","1","1.0mm","90","적설없음","4","28","","","-0.1","9.6","0.5","179","9.6","2024-08-22 02:00:01"
"114","진도 대마도","20240822","0200","20240822","0300","60","1","1.0mm","90","적설없음","4","28","","","-0.1","9.6","0.5","179","9.6","2024-08-22 02:00:01"
"115","여수 대횡간도","20240822","0200","20240822","0300","60","1","1.0mm","90","적설없음","4","28","","","1.5","7.8","0.5","191","7.9","2024-08-22 02:00:01"
"116","완도 금당도","20240822","0200","20240822","0300","0","0","강수없음","90","적설없음","1","28","","","0.4","6","0.5","183","6","2024-08-22 02:00:01"
"117","완도 여서도","20240822","0200","20240822","0300","60","1","1.0mm","90","적설없음","4","27","","","-0.2","6.4","0.5","178","6.4","2024-08-22 02:00:01"
"118","영광 안마도","20240822","0200","20240822","0300","60","1","1.0mm","85","적설없음","4","28","","","-2.6","8.9","0.5","163","9.3","2024-08-22 02:00:01"
"119","신안 우이도","20240822","0200","20240822","0300","0","0","강수없음","90","적설없음","1","28","","","-1.9","8.2","0.5","166","8.4","2024-08-22 02:00:01"
"120","여수 손죽도","20240822","0200","20240822","0300","0","0","강수없음","80","적설없음","1","30","","","1.4","8.3","1","189","8.4","2024-08-22 02:00:01"
"121","신안 반월박지도","20240822","0500","20240822","0600","20","0","강수없음","95","적설없음","3","27","","","-4","6.8","0.5","149","7.9","2024-08-22 05:00:01"
"122","고흥 연홍도","20240822","0500","20240822","0600","60","1","6.0mm","85","적설없음","4","28","","","-0.4","6.7","0.5","176","6.7","2024-08-22 05:00:01"
"123","강진 가우도","20240822","0500","20240822","0600","60","1","1.0mm","90","적설없음","4","28","","","-1.2","1.5","0","139","2","2024-08-22 05:00:01"
"124","여수 낭도","20240822","0500","20240822","0600","60","1","4.0mm","90","적설없음","4","28","","","0.2","6.9","0.5","182","6.9","2024-08-22 05:00:01"
"125","진도 금호도","20240822","0500","20240822","0600","60","1","2.0mm","90","적설없음","4","28","","","-2.5","3.7","0","145","4.5","2024-08-22 05:00:01"
"126","목포 외달도","20240822","0500","20240822","0600","20","0","강수없음","90","적설없음","3","27","","","-1.5","1.8","0","138","2.4","2024-08-22 05:00:01"
"127","여수 송도","20240822","0500","20240822","0600","0","0","강수없음","90","적설없음","1","28","","","0.2","7","0.5","182","7","2024-08-22 05:00:01"
"128","신안 옥도","20240822","0500","20240822","0600","20","0","강수없음","90","적설없음","3","27","","","-2.9","7.2","0.5","157","7.8","2024-08-22 05:00:01"
"129","신안 기점소악도","20240822","0500","20240822","0600","60","1","2.0mm","90","적설없음","4","28","","","-4.3","7.6","0.5","150","8.8","2024-08-22 05:00:01"
"130","보성 장도","20240822","0500","20240822","0600","20","0","강수없음","100","적설없음","3","27","","","-0.8","1.8","0","153","2","2024-08-22 05:00:01"
"131","신안 선도","20240822","0500","20240822","0600","60","1","2.0mm","90","적설없음","4","27","","","-4.4","7.1","0.5","148","8.4","2024-08-22 05:00:01"
"132","무안 탄도","20240822","0500","20240822","0600","60","1","1.0mm","90","적설없음","4","27","","","-2.5","3.2","0","141","4.1","2024-08-22 05:00:01"
"133","신안 고이도","20240822","0500","20240822","0600","30","0","강수없음","90","적설없음","4","27","","","-3","4.3","0.5","144","5.3","2024-08-22 05:00:01"
"134","여수 연도","20240822","0500","20240822","0600","0","0","강수없음","90","적설없음","1","28","","","0.4","7.5","0.5","183","7.5","2024-08-22 05:00:01"
"135","완도 생일도","20240822","0500","20240822","0600","60","1","1.0mm","90","적설없음","4","27","","","-0.8","6.8","0.5","172","6.9","2024-08-22 05:00:01"
"136","진도 관매도","20240822","0500","20240822","0600","60","1","1.0mm","90","적설없음","4","28","","","-1.1","9.9","0.5","173","10","2024-08-22 05:00:01"
"137","진도 대마도","20240822","0500","20240822","0600","60","1","1.0mm","90","적설없음","4","28","","","-1.1","9.9","0.5","173","10","2024-08-22 05:00:01"
"138","여수 대횡간도","20240822","0500","20240822","0600","0","0","강수없음","90","적설없음","1","28","","","0.4","7.5","0.5","183","7.5","2024-08-22 05:00:01"
"139","완도 금당도","20240822","0500","20240822","0600","60","1","5.0mm","85","적설없음","4","28","","","-0.6","6.6","0.5","174","6.6","2024-08-22 05:00:01"
"140","완도 여서도","20240822","0500","20240822","0600","60","1","1.0mm","90","적설없음","4","27","","","-1.1","6.6","0.5","170","6.7","2024-08-22 05:00:01"
"141","영광 안마도","20240822","0500","20240822","0600","20","0","강수없음","90","적설없음","3","28","","","-4.2","8.5","0.5","153","9.5","2024-08-22 05:00:01"
"142","신안 우이도","20240822","0500","20240822","0600","60","1","2.0mm","90","적설없음","4","28","","","-2.8","8.1","0.5","160","8.6","2024-08-22 05:00:01"
"143","여수 손죽도","20240822","0500","20240822","0600","60","1","2.0mm","85","적설없음","4","29","","","1.1","8.7","1","187","8.8","2024-08-22 05:00:01"
"144","신안 반월박지도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","29","","","-0.3","10","0.5","178","10","2024-08-22 08:00:01"
"145","고흥 연홍도","20240822","0800","20240822","0900","20","0","강수없음","80","적설없음","3","31","","","-0.3","9.3","0.5","178","9.3","2024-08-22 08:00:01"
"146","강진 가우도","20240822","0800","20240822","0900","60","1","1mm 미만","80","적설없음","4","30","","","-1","3.5","0","163","3.7","2024-08-22 08:00:01"
"147","여수 낭도","20240822","0800","20240822","0900","0","0","강수없음","80","적설없음","1","30","","","0","7","0.5","179","7","2024-08-22 08:00:01"
"148","진도 금호도","20240822","0800","20240822","0900","30","0","강수없음","80","적설없음","4","29","","","-0.2","6.6","0","177","6.6","2024-08-22 08:00:01"
"149","목포 외달도","20240822","0800","20240822","0900","60","1","1mm 미만","80","적설없음","4","30","","","-1.2","3.6","0","160","3.8","2024-08-22 08:00:01"
"150","여수 송도","20240822","0800","20240822","0900","0","0","강수없음","80","적설없음","1","31","","","0","7.2","0.5","179","7.2","2024-08-22 08:00:01"
"151","신안 옥도","20240822","0800","20240822","0900","30","0","강수없음","80","적설없음","4","30","","","0.5","10.1","0.5","183","10.1","2024-08-22 08:00:01"
"152","신안 기점소악도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","29","","","-1.4","10.7","0.5","172","10.8","2024-08-22 08:00:01"
"153","보성 장도","20240822","0800","20240822","0900","60","1","1mm 미만","85","적설없음","4","30","","","-0.1","4.6","0","178","4.6","2024-08-22 08:00:01"
"154","신안 선도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","29","","","-1.8","10.2","0.5","169","10.4","2024-08-22 08:00:01"
"155","무안 탄도","20240822","0800","20240822","0900","60","1","1mm 미만","80","적설없음","4","30","","","-1.2","7.2","0","170","7.3","2024-08-22 08:00:01"
"156","신안 고이도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","29","","","-1.1","7.7","0.5","171","7.8","2024-08-22 08:00:01"
"157","여수 연도","20240822","0800","20240822","0900","0","0","강수없음","80","적설없음","1","30","","","0","8.1","0.5","179","8.1","2024-08-22 08:00:01"
"158","완도 생일도","20240822","0800","20240822","0900","20","0","강수없음","80","적설없음","3","29","","","-0.8","9.8","0.5","175","9.8","2024-08-22 08:00:01"
"159","완도 소안도","20240822","0800","20240822","0900","30","0","강수없음","80","적설없음","4","30","","","-1.4","7.2","0.5","168","7.4","2024-08-22 08:00:01"
"160","진도 관매도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","29","","","2.6","11.9","0.5","192","12.2","2024-08-22 08:00:01"
"161","진도 대마도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","29","","","2.6","11.9","0.5","192","12.2","2024-08-22 08:00:01"
"162","여수 대횡간도","20240822","0800","20240822","0900","0","0","강수없음","80","적설없음","1","30","","","0","8.1","0.5","179","8.1","2024-08-22 08:00:01"
"163","완도 금당도","20240822","0800","20240822","0900","20","0","강수없음","75","적설없음","3","30","","","-0.6","9.4","0.5","176","9.4","2024-08-22 08:00:01"
"164","완도 여서도","20240822","0800","20240822","0900","20","0","강수없음","80","적설없음","3","30","","","-1.1","9.4","0.5","173","9.5","2024-08-22 08:00:01"
"165","영광 안마도","20240822","0800","20240822","0900","30","0","강수없음","85","적설없음","4","30","","","-1.7","11.1","0.5","171","11.2","2024-08-22 08:00:01"
"166","신안 우이도","20240822","0800","20240822","0900","30","0","강수없음","80","적설없음","4","30","","","0.4","10.6","0.5","182","10.6","2024-08-22 08:00:01"
"167","여수 손죽도","20240822","0800","20240822","0900","0","0","강수없음","80","적설없음","1","31","","","0.6","10.3","1","183","10.3","2024-08-22 08:00:01"
"168","신안 반월박지도","20240822","1100","20240822","1200","30","0","강수없음","80","적설없음","4","30","","","4.1","8.7","0.5","205","9.6","2024-08-22 11:00:01"
"169","고흥 연홍도","20240822","1100","20240822","1200","20","0","강수없음","75","적설없음","3","32","","","1.3","9.3","0.5","188","9.4","2024-08-22 11:00:01"
"170","강진 가우도","20240822","1100","20240822","1200","60","1","6.0mm","75","적설없음","4","31","","","2","5.3","0","201","5.7","2024-08-22 11:00:01"
"171","여수 낭도","20240822","1100","20240822","1200","20","0","강수없음","75","적설없음","3","31","","","1.4","10.7","0.5","187","10.8","2024-08-22 11:00:01"
"172","진도 금호도","20240822","1100","20240822","1200","60","1","8.0mm","80","적설없음","4","30","","","3.3","7.8","0","203","8.5","2024-08-22 11:00:01"
"173","목포 외달도","20240822","1100","20240822","1200","60","1","3.0mm","80","적설없음","4","30","","","1.2","4.4","0","195","4.6","2024-08-22 11:00:01"
"174","여수 송도","20240822","1100","20240822","1200","20","0","강수없음","75","적설없음","3","31","","","1.4","10.7","0.5","187","10.8","2024-08-22 11:00:01"
"175","신안 옥도","20240822","1100","20240822","1200","30","0","강수없음","75","적설없음","4","31","","","4.9","7.8","0.5","212","9.2","2024-08-22 11:00:01"
"176","신안 기점소악도","20240822","1100","20240822","1200","30","0","강수없음","80","적설없음","4","31","","","3.3","10.1","0.5","198","10.6","2024-08-22 11:00:01"
"177","보성 장도","20240822","1100","20240822","1200","60","1","1.0mm","80","적설없음","4","31","","","0.4","5.3","0","184","5.3","2024-08-22 11:00:01"
